epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
43,79592.5,1.24212,0.33681,0.19537,0.73427,0.63983,0.71619,0.33588,0.77108,0.50698,0.15832,0.005842,0.005842,0.005842
44,81440.1,1.237,0.33947,0.19582,0.72812,0.63447,0.70922,0.32364,0.78654,0.50811,0.16076,0.005743,0.005743,0.005743
45,83288.4,1.16458,0.35923,0.1854,0.72381,0.63146,0.70517,0.31831,0.79215,0.51317,0.16253,0.005644,0.005644,0.005644
46,85140.3,1.23374,0.33989,0.19685,0.71466,0.62199,0.69333,0.29688,0.818,0.5104,0.1657,0.005545,0.005545,0.005545
47,86985,1.17934,0.35361,0.18118,0.7047,0.61128,0.67997,0.27704,0.84233,0.50739,0.16856,0.005446,0.005446,0.005446
48,88835.4,1.18003,0.35352,0.18309,0.69941,0.60528,0.67222,0.26619,0.85613,0.50886,0.17086,0.005347,0.005347,0.005347
49,90681.4,1.17442,0.35395,0.18098,0.69139,0.59819,0.66239,0.25509,0.87057,0.50854,0.17329,0.005248,0.005248,0.005248
50,92526.4,1.18201,0.35153,0.18723,0.68307,0.58768,0.64964,0.24177,0.88777,0.50649,0.17568,0.005149,0.005149,0.005149
51,94380.8,1.20365,0.34657,0.18704,0.66406,0.56783,0.62407,0.22123,0.91565,0.5002,0.17873,0.00505,0.00505,0.00505
52,96216.5,1.21892,0.34329,0.19067,0.66941,0.57439,0.63234,0.22897,0.90523,0.5085,0.17907,0.004951,0.004951,0.004951
53,98058.5,1.17462,0.35431,0.1838,0.65113,0.55339,0.60641,0.21032,0.93075,0.50078,0.18171,0.004852,0.004852,0.004852
54,99905.8,1.25095,0.3339,0.19323,0.65165,0.55434,0.60736,0.21127,0.92986,0.50479,0.18233,0.004753,0.004753,0.004753
55,101748,1.19042,0.34913,0.18319,0.62269,0.52578,0.57007,0.18997,0.96095,0.49416,0.18503,0.004654,0.004654,0.004654
56,103599,1.13126,0.36572,0.17135,0.61357,0.513,0.55503,0.18227,0.97518,0.48931,0.18687,0.004555,0.004555,0.004555
57,105434,1.07945,0.37704,0.16185,0.62104,0.52082,0.56496,0.18682,0.96947,0.49491,0.1873,0.004456,0.004456,0.004456
58,107271,1.14322,0.36015,0.17391,0.61254,0.51269,0.55373,0.18056,0.98001,0.49135,0.18882,0.004357,0.004357,0.004357
59,109110,1.13431,0.36271,0.17383,0.60881,0.50734,0.54696,0.17575,0.98839,0.48801,0.18998,0.004258,0.004258,0.004258
60,110954,1.22156,0.34264,0.18902,0.58143,0.48277,0.51342,0.15986,1.01446,0.47625,0.1919,0.004159,0.004159,0.004159
